0.01, -0.02, 0.025, 0.022
-0.01, 0.02, 0.025, 0.022
0.01, -0.02, 0.025, 0.022
-0.01, 0.02, 0.025, 0.022
0.01, -0.02, 0.025, 0.022
-0.01, 0.02, 0.025, 0.022
0.01, -0.02, 0.025, 0.022
-0.01, 0.02, 0.025, 0.022
0.02, -0.001, 0.5, 0.1
-0.02, 0.001, 0.5, 0.1
0.02, -0.001, 0.5, 0.1
-0.02, 0.001, 0.5, 0.1
0.02, -0.001, 0.5, 0.1
-0.02, 0.001, 0.5, 0.1
0.02, -0.001, 0.5, 0.1
-0.02, 0.001, 0.5, 0.1
0.02, 0.001, 0.5, 0.1
-0.02, 0.001, 0.5, 0.1
0.02, 0.001, 0.5, 0.1
-0.02, 0.001, 0.5, 0.1
0.02, 0.001, 0.5, 0.1
